"선명","역명","지상구분","역층"
"9호선","개화","지상","1"
"9호선","개화","지상","1"
"9호선","김포공항","지하","4"
"9호선","김포공항","지하","3"
"9호선","공항시장","지하","4"
"9호선","공항시장","지하","4"
"9호선","신방화","지하","2"
"9호선","신방화","지하","2"
"9호선","마곡나루","지하","2"
"9호선","마곡나루","지하","2"
"9호선","양천향교","지하","2"
"9호선","양천향교","지하","2"
"9호선","가양","지하","2"
"9호선","가양","지하","2"
"9호선","증미","지하","3"
"9호선","증미","지하","3"
"9호선","등촌","지하","2"
"9호선","등촌","지하","2"
"9호선","염창","지하","2"
"9호선","염창","지하","2"
"9호선","신목동","지하","3"
"9호선","신목동","지하","3"
"9호선","선유도","지하","3"
"9호선","선유도","지하","3"
"9호선","당산","지하","3"
"9호선","당산","지하","3"
"9호선","국회의사당","지하","3"
"9호선","국회의사당","지하","3"
"9호선","여의도","지하","2"
"9호선","여의도","지하","2"
"9호선","샛강","지하","3"
"9호선","샛강","지하","3"
"9호선","노량진","지하","2"
"9호선","노량진","지하","2"
"9호선","노들","지하","2"
"9호선","노들","지하","2"
"9호선","흑석(중앙대입구)","지하","2"
"9호선","흑석(중앙대입구)","지하","2"
"9호선","동작(현충원)","지하","3"
"9호선","동작(현충원)","지하","3"
"9호선","구반포","지하","3"
"9호선","구반포","지하","3"
"9호선","신반포","지하","2"
"9호선","신반포","지하","2"
"9호선","고속터미널","지하","5"
"9호선","고속터미널","지하","5"
"9호선","사평","지하","3"
"9호선","사평","지하","3"
"9호선","신논현","지하","4"
"9호선","신논현","지하","4"
"9호선","언주","지하","5"
"9호선","언주","지하","5"
"9호선","선정릉","지하","3"
"9호선","선정릉","지하","3"
"9호선","삼성중앙","지하","2"
"9호선","삼성중앙","지하","2"
"9호선","봉은사","지하","2"
"9호선","봉은사","지하","2"
"9호선","종합운동장","지하","4"
"9호선","종합운동장","지하","4"
"9호선","삼전","지하","2"
"9호선","삼전","지하","2"
"9호선","석촌고분","지하","2"
"9호선","석촌고분","지하","2"
"9호선","석촌","지하","2"
"9호선","석촌","지하","2"
"9호선","송파나루","지하","2"
"9호선","송파나루","지하","2"
"9호선","한성백제","지하","2"
"9호선","한성백제","지하","2"
"9호선","올림픽공원(한국체대)","지하","3"
"9호선","올림픽공원(한국체대)","지하","3"
"9호선","둔촌오륜","지하","2"
"9호선","둔촌오륜","지하","2"
"9호선","중앙보훈병원","지하","2"
"9호선","중앙보훈병원","지하","2"
