"선명","역명","지상구분","역층"
"1호선","지행","지상","2"
"1호선","지행","지상","2"
"1호선","도봉","지상","2"
"1호선","도봉","지상","2"
"1호선","창동","지상","1"
"1호선","창동","지상","1"
"1호선","월계","지상","2"
"1호선","월계","지상","2"
"1호선","외대앞","지상","2"
"1호선","외대앞","지상","2"
"1호선","대방","지상","2"
"1호선","대방","지상","2"
"1호선","신길","지상","2"
"1호선","신길","지상","2"
"1호선","덕정","지상","2"
"1호선","덕정","지상","2"
"1호선","구일","지상","1"
"1호선","구일","지상","1"
"1호선","온수","지상","1"
"1호선","온수","지상","1"
"1호선","역곡","지상","1"
"1호선","역곡","지상","1"
"1호선","송내","지상","1"
"1호선","송내","지상","1"
"1호선","부평","지상","1"
"1호선","부평","지상","1"
"1호선","성균관대","지상","1"
"1호선","성균관대","지상","1"
"1호선","소요산","지상","1"
"1호선","소요산","지상","1"
"1호선","청산","지상","1"
"1호선","청산","지상","1"
"1호선","전곡","지상","1"
"1호선","전곡","지상","1"
"1호선","연천","지상","1"
"1호선","연천","지상","1"
"1호선","동두천","지상","3"
"1호선","동두천","지상","3"
"1호선","보산","지상","3"
"1호선","보산","지상","3"
"1호선","동두천중앙","지상","3"
"1호선","동두천중앙","지상","3"
"1호선","덕계","지상","2"
"1호선","덕계","지상","2"
"1호선","녹양","지상","2"
"1호선","녹양","지상","2"
"1호선","가능","지상","2"
"1호선","가능","지상","2"
"1호선","의정부","지상","3"
"1호선","의정부","지상","3"
"1호선","회룡","지상","3"
"1호선","회룡","지상","3"
"1호선","망월사","지상","2"
"1호선","망월사","지상","2"
"1호선","도봉산","지상","2"
"1호선","도봉산","지상","2"
"1호선","방학","지상","2"
"1호선","방학","지상","2"
"1호선","녹천","지상","2"
"1호선","녹천","지상","2"
"1호선","석계","지상","1"
"1호선","석계","지상","1"
"1호선","신이문","지상","2"
"1호선","신이문","지상","2"
"1호선","회기","지상","1"
"1호선","회기","지상","1"
"1호선","남영","지상","2"
"1호선","남영","지상","2"
"1호선","용산","지상","1"
"1호선","용산","지상","1"
"1호선","노량진","지상","1"
"1호선","노량진","지상","1"
"1호선","영등포","지상","1"
"1호선","영등포","지상","1"
"1호선","신도림","지상","1"
"1호선","신도림","지상","1"
"1호선","개봉","지상","1"
"1호선","개봉","지상","1"
"1호선","오류동","지상","2"
"1호선","오류동","지상","2"
"1호선","소사","지상","2"
"1호선","소사","지상","2"
"1호선","부천","지상","2"
"1호선","부천","지상","2"
"1호선","서울역","지하","2"
"1호선","서울역","지하","2"
"1호선","부개","지상","2"
"1호선","시청","지하","2"
"1호선","시청","지하","2"
"1호선","부개","지상","2"
"1호선","종각","지하","2"
"1호선","종각","지하","2"
"1호선","백운","지상","2"
"1호선","종로3가","지하","2"
"1호선","백운","지상","2"
"1호선","종로3가","지하","2"
"1호선","종로5가","지하","2"
"1호선","동암","지상","2"
"1호선","종로5가","지하","2"
"1호선","동암","지상","2"
"1호선","동대문","지하","2"
"1호선","동대문","지하","2"
"1호선","주안","지상","2"
"1호선","주안","지상","2"
"1호선","신설동","지하","2"
"1호선","신설동","지하","2"
"1호선","제기동","지하","2"
"1호선","제기동","지하","2"
"1호선","도화","지상","2"
"1호선","도화","지상","2"
"1호선","청량리(서울시립대입구)","지하","2"
"1호선","청량리(서울시립대입구)","지하","2"
"1호선","제물포","지상","2"
"1호선","제물포","지상","2"
"1호선","동묘앞","지하","2"
"1호선","동묘앞","지하","2"
"1호선","도원","지상","2"
"1호선","도원","지상","2"
"1호선","동인천","지상","1"
"1호선","동인천","지상","1"
"1호선","인천","지상","1"
"1호선","인천","지상","1"
"1호선","세류","지상","1"
"1호선","세류","지상","1"
"1호선","간석","지상","1"
"1호선","간석","지상","1"
"1호선","중동","지상","1"
"1호선","중동","지상","1"
"1호선","광운대","지상","1"
"1호선","광운대","지상","1"
"1호선","양주","지상","2"
"1호선","양주","지상","2"
"1호선","광명","지하","2"
"1호선","광명","지하","2"
"1호선","구로","지상","1"
"1호선","구로","지상","1"
"1호선","가산디지털단지","지상","1"
"1호선","가산디지털단지","지상","1"
"1호선","독산","지상","2"
"1호선","독산","지상","2"
"1호선","금천구청","지상","2"
"1호선","금천구청","지상","2"
"1호선","석수","지상","1"
"1호선","석수","지상","1"
"1호선","관악","지상","1"
"1호선","관악","지상","1"
"1호선","안양","지상","1"
"1호선","안양","지상","1"
"1호선","명학","지상","1"
"1호선","명학","지상","1"
"1호선","금정","지상","1"
"1호선","금정","지상","1"
"1호선","군포","지상","1"
"1호선","군포","지상","1"
"1호선","당정","지상","2"
"1호선","당정","지상","2"
"1호선","의왕","지상","1"
"1호선","의왕","지상","1"
"1호선","화서","지상","1"
"1호선","화서","지상","1"
"1호선","수원","지상","1"
"1호선","수원","지상","1"
"1호선","병점","지상","1"
"1호선","병점","지상","1"
"1호선","서동탄","지상","2"
"1호선","서동탄","지상","2"
"1호선","세마","지상","1"
"1호선","세마","지상","1"
"1호선","오산대","지상","1"
"1호선","오산대","지상","1"
"1호선","오산","지상","2"
"1호선","오산","지상","2"
"1호선","진위","지상","1"
"1호선","진위","지상","1"
"1호선","송탄","지상","1"
"1호선","송탄","지상","1"
"1호선","서정리","지상","2"
"1호선","서정리","지상","2"
"1호선","평택지제","지상","1"
"1호선","평택지제","지상","1"
"1호선","평택","지상","3"
"1호선","평택","지상","3"
"1호선","성환","지상","1"
"1호선","성환","지상","1"
"1호선","직산","지상","1"
"1호선","직산","지상","1"
"1호선","두정","지상","1"
"1호선","두정","지상","1"
"1호선","천안","지상","1"
"1호선","천안","지상","1"
"1호선","봉명","지상","1"
"1호선","봉명","지상","1"
"1호선","쌍용(나사렛대)","지상","2"
"1호선","쌍용(나사렛대)","지상","2"
"1호선","아산","지상","2"
"1호선","아산","지상","2"
"1호선","배방","지상","2"
"1호선","배방","지상","2"
"1호선","온양온천","지상","2"
"1호선","온양온천","지상","2"
"1호선","신창(순천향대)","지상","1"
"1호선","신창(순천향대)","지상","1"
