"선명","역명","지상구분","역층"
"5호선","방화","지하","2"
"5호선","방화","지하","2"
"5호선","개화산","지하","4"
"5호선","개화산","지하","4"
"5호선","김포공항","지하","3"
"5호선","김포공항","지하","3"
"5호선","송정","지하","3"
"5호선","송정","지하","3"
"5호선","마곡","지하","2"
"5호선","마곡","지하","2"
"5호선","발산","지하","2"
"5호선","발산","지하","2"
"5호선","우장산","지하","2"
"5호선","우장산","지하","2"
"5호선","화곡","지하","2"
"5호선","화곡","지하","2"
"5호선","까치산","지하","5"
"5호선","까치산","지하","5"
"5호선","신정(은행정)","지하","3"
"5호선","신정(은행정)","지하","3"
"5호선","목동","지하","2"
"5호선","목동","지하","2"
"5호선","오목교(목동운동장앞)","지하","3"
"5호선","오목교(목동운동장앞)","지하","3"
"5호선","양평","지하","5"
"5호선","양평","지하","5"
"5호선","영등포구청","지하","5"
"5호선","영등포구청","지하","5"
"5호선","영등포시장","지하","6"
"5호선","영등포시장","지하","6"
"5호선","신길","지하","5"
"5호선","신길","지하","4"
"5호선","여의도","지하","4"
"5호선","여의도","지하","4"
"5호선","여의나루","지하","5"
"5호선","여의나루","지하","5"
"5호선","마포","지하","5"
"5호선","마포","지하","5"
"5호선","공덕","지하","3"
"5호선","공덕","지하","3"
"5호선","애오개","지하","4"
"5호선","애오개","지하","4"
"5호선","충정로(경기대입구)","지하","5"
"5호선","충정로(경기대입구)","지하","5"
"5호선","서대문","지하","4"
"5호선","서대문","지하","4"
"5호선","광화문(세종문화회관)","지하","4"
"5호선","광화문(세종문화회관)","지하","4"
"5호선","종로3가(탑골공원)","지하","5"
"5호선","종로3가(탑골공원)","지하","5"
"5호선","을지로4가","지하","5"
"5호선","을지로4가","지하","5"
"5호선","동대문역사문화공원","지하","5"
"5호선","동대문역사문화공원","지하","5"
"5호선","청구","지하","4"
"5호선","청구","지하","4"
"5호선","신금호","지하","8"
"5호선","신금호","지하","8"
"5호선","행당","지하","5"
"5호선","행당","지하","5"
"5호선","왕십리","지하","5"
"5호선","왕십리","지하","5"
"5호선","마장","지하","3"
"5호선","마장","지하","3"
"5호선","답십리","지하","3"
"5호선","답십리","지하","3"
"5호선","장한평","지하","3"
"5호선","장한평","지하","3"
"5호선","군자(능동)","지하","3"
"5호선","군자(능동)","지하","3"
"5호선","아차산(어린이대공원후문)","지하","3"
"5호선","아차산(어린이대공원후문)","지하","3"
"5호선","광나루(장신대)","지하","3"
"5호선","광나루(장신대)","지하","3"
"5호선","천호(풍납토성)","지하","3"
"5호선","천호(풍납토성)","지하","3"
"5호선","강동","지하","4"
"5호선","강동","지하","4"
"5호선","길동","지하","3"
"5호선","길동","지하","3"
"5호선","굽은다리(강동구민회관앞)","지하","2"
"5호선","굽은다리(강동구민회관앞)","지하","2"
"5호선","명일","지하","2"
"5호선","명일","지하","2"
"5호선","고덕","지하","2"
"5호선","고덕","지하","2"
"5호선","상일동","지하","2"
"5호선","상일동","지하","2"
"5호선","둔촌동","지하","2"
"5호선","둔촌동","지하","2"
"5호선","올림픽공원(한국체대)","지하","3"
"5호선","올림픽공원(한국체대)","지하","3"
"5호선","방이","지하","2"
"5호선","방이","지하","2"
"5호선","오금","지하","2"
"5호선","오금","지하","2"
"5호선","개롱","지하","2"
"5호선","개롱","지하","2"
"5호선","거여","지하","3"
"5호선","거여","지하","3"
"5호선","마천","지하","4"
"5호선","마천","지하","4"
"5호선","강일","지하","3"
"5호선","강일","지하","3"
"5호선","미사","지하","2"
"5호선","미사","지하","2"
"5호선","하남풍산","지하","2"
"5호선","하남풍산","지하","2"
"5호선","하남시청(덕풍·신장)","지하","2"
"5호선","하남시청(덕풍·신장)","지하","2"
"5호선","하남검단산역","지하","3"
"5호선","하남검단산역","지하","3"
