"호선","역명","형식","층수"
"6","돌곶이","상대식","B2"
"6","석계","상대식","1FB3"
"6","태릉입구","상대식","B3"
"6","화랑대","상대식","B2"
"6","봉화산","복합식","B2"
"6","신내","상대식","2FB1"
"7","장암","상대식","2F"
"7","도봉산","상대식","2F"
"7","수락산","복합식","B3"
"7","마들","섬식","B3"
"7","노원","섬식","1FB3"
"7","중계","섬식","B3"
"7","하계","섬식","B3"
"7","공릉","상대식","B4"
"7","태릉입구","상대식","B4"
"7","먹골","상대식","B3"
"7","중화","상대식","B3"
"7","상봉","상대식","B3"
"7","면목","상대식","B4"
"7","사가정","상대식","B4"
"7","용마산","상대식","B4"
"7","중곡","상대식","B3"
"7","군자","상대식","B3"
"7","어린이대공원","상대식","B3"
"7","건대입구","상대식","B3"
"7","자양","상대식","3F"
"7","청담","복합식","B4"
"7","강남구청","상대식","B3"
"7","학동","상대식","B3"
"7","논현","상대식","B3"
"7","반포","상대식","B3"
"7","고속터미널","상대식","B3"
"7","내방","상대식","B3"
"7","이수","상대식","B4"
"7","남성","상대식","B3"
"7","숭실대입구","상대식","B6"
"7","상도","상대식","B3"
"7","장승배기","상대식","B3"
"7","신대방삼거리","상대식","B3"
"7","보라매","섬식","B2"
"7","신풍","상대식","B2"
"7","대림","상대식","B2"
"7","남구로","상대식","B5"
"7","가산디지털단지","상대식","B4"
"7","철산","상대식","B2"
"7","광명사거리","복합식","B3"
"7","천왕","상대식","B2"
"7","온수","복합식","B2"
"8","암사역사공원","상대식","B2"
"8","암사","상대식","B2"
"8","천호","상대식","B2"
"8","강동구청","상대식","B3"
"8","몽촌토성","상대식","B3"
"8","잠실","상대식","B3"
"8","석촌","상대식","B2"
"8","송파","상대식","B2"
"8","가락시장","상대식","B2"
"8","문정","상대식","B2"
"8","장지","상대식","B2"
"8","복정","섬식","B2"
"8","남위례","상대식","3F"
"8","산성","상대식","B4"
"8","남한산성입구","상대식","B3"
"8","단대오거리","상대식","B3"
"8","신흥","상대식","B2"
"8","수진","상대식","B2"
"8","모란","상대식","B3"
