"선명","역명","지상구분","역층"
"4호선","대공원","지하","2"
"4호선","대공원","지하","2"
"4호선","과천","지하","2"
"4호선","과천","지하","2"
"4호선","인덕원","지하","2"
"4호선","인덕원","지하","2"
"4호선","범계","지하","2"
"4호선","범계","지하","2"
"4호선","대야미","지상","2"
"4호선","대야미","지상","2"
"4호선","반월","지상","2"
"4호선","반월","지상","2"
"4호선","정부과천청사","지하","2"
"4호선","정부과천청사","지하","2"
"4호선","한대앞","지상","1"
"4호선","한대앞","지상","1"
"4호선","당고개","지상","3"
"4호선","당고개","지상","3"
"4호선","상계","지상","3"
"4호선","상계","지상","3"
"4호선","노원","지상","2"
"4호선","노원","지상","2"
"4호선","창동","지상","3"
"4호선","창동","지상","3"
"4호선","쌍문","지하","2"
"4호선","쌍문","지하","2"
"4호선","수유(강북구청)","지하","2"
"4호선","수유(강북구청)","지하","2"
"4호선","미아","지하","2"
"4호선","미아","지하","2"
"4호선","미아사거리","지하","2"
"4호선","미아사거리","지하","2"
"4호선","길음","지하","2"
"4호선","길음","지하","2"
"4호선","성신여대입구(돈암)","지하","2"
"4호선","성신여대입구(돈암)","지하","2"
"4호선","한성대입구(삼선교)","지하","2"
"4호선","한성대입구(삼선교)","지하","2"
"4호선","혜화","지하","2"
"4호선","혜화","지하","2"
"4호선","동대문","지하","4"
"4호선","동대문","지하","4"
"4호선","동대문역사문화공원","지하","3"
"4호선","동대문역사문화공원","지하","3"
"4호선","충무로","지하","3"
"4호선","충무로","지하","3"
"4호선","명동","지하","4"
"4호선","명동","지하","4"
"4호선","회현(남대문시장)","지하","4"
"4호선","회현(남대문시장)","지하","4"
"4호선","서울역","지하","2"
"4호선","서울역","지하","2"
"4호선","숙대입구(갈월)","지하","2"
"4호선","숙대입구(갈월)","지하","2"
"4호선","삼각지","지하","2"
"4호선","삼각지","지하","2"
"4호선","신용산","지하","2"
"4호선","신용산","지하","2"
"4호선","이촌(국립중앙박물관)","지하","2"
"4호선","이촌(국립중앙박물관)","지하","2"
"4호선","동작(현충원)","지상","3"
"4호선","동작(현충원)","지상","3"
"4호선","총신대입구(이수)","지하","2"
"4호선","총신대입구(이수)","지하","2"
"4호선","사당","지하","3"
"4호선","사당","지하","3"
"4호선","남태령","지하","3"
"4호선","남태령","지하","3"
"4호선","선바위","지하","2"
"4호선","선바위","지하","2"
"4호선","경마공원","지하","2"
"4호선","경마공원","지하","2"
"4호선","평촌","지하","3"
"4호선","평촌","지하","3"
"4호선","산본","지상","4"
"4호선","산본","지상","4"
"4호선","수리산","지상","2"
"4호선","수리산","지상","2"
"4호선","상록수","지상","2"
"4호선","상록수","지상","2"
"4호선","중앙","지상","2"
"4호선","중앙","지상","2"
"4호선","초지","지상","2"
"4호선","초지","지상","2"
"4호선","안산","지상","3"
"4호선","안산","지상","3"
"4호선","신길온천","지상","2"
"4호선","신길온천","지상","2"
"4호선","정왕","지상","2"
"4호선","정왕","지상","2"
"4호선","오이도","지상","1"
"4호선","오이도","지상","1"
"4호선","금정","지상","1"
"4호선","금정","지상","1"
"4호선","고잔","지상","2"
"4호선","고잔","지상","2"
