"선명","역명","지상구분","역층"
"3호선","대화","지하","2"
"3호선","대화","지하","2"
"3호선","대곡","지하","2"
"3호선","대곡","지하","2"
"3호선","화정","지하","3"
"3호선","화정","지하","3"
"3호선","원흥","지하","1"
"3호선","원흥","지하","1"
"3호선","지축","지상","2"
"3호선","지축","지상","2"
"3호선","주엽","지하","2"
"3호선","주엽","지하","2"
"3호선","구파발","지하","2"
"3호선","구파발","지하","2"
"3호선","연신내","지하","2"
"3호선","연신내","지하","2"
"3호선","정발산","지하","2"
"3호선","정발산","지하","2"
"3호선","마두","지하","2"
"3호선","마두","지하","2"
"3호선","불광","지하","2"
"3호선","불광","지하","2"
"3호선","녹번","지하","2"
"3호선","녹번","지하","2"
"3호선","백석","지상","3"
"3호선","백석","지상","3"
"3호선","홍제","지하","3"
"3호선","홍제","지하","3"
"3호선","무악재","지하","3"
"3호선","무악재","지하","3"
"3호선","원당","지하","2"
"3호선","원당","지하","2"
"3호선","독립문","지하","3"
"3호선","독립문","지하","3"
"3호선","경복궁(정부서울청사)","지하","3"
"3호선","경복궁(정부서울청사)","지하","3"
"3호선","삼송","지하","2"
"3호선","삼송","지하","2"
"3호선","안국","지하","4"
"3호선","안국","지하","4"
"3호선","종로3가","지하","4"
"3호선","종로3가","지하","4"
"3호선","을지로3가","지하","3"
"3호선","을지로3가","지하","3"
"3호선","충무로","지하","4"
"3호선","충무로","지하","4"
"3호선","동대입구","지하","3"
"3호선","동대입구","지하","3"
"3호선","약수","지하","3"
"3호선","약수","지하","3"
"3호선","금호","지하","2"
"3호선","금호","지하","2"
"3호선","옥수","지상","4"
"3호선","옥수","지상","4"
"3호선","압구정","지하","2"
"3호선","압구정","지하","2"
"3호선","신사","지하","2"
"3호선","신사","지하","2"
"3호선","잠원","지하","2"
"3호선","잠원","지하","2"
"3호선","고속터미널","지하","3"
"3호선","고속터미널","지하","3"
"3호선","교대(법원·검찰청)","지하","3"
"3호선","교대(법원·검찰청)","지하","3"
"3호선","남부터미널(예술의전당)","지하","3"
"3호선","남부터미널(예술의전당)","지하","3"
"3호선","양재(서초구청)","지하","2"
"3호선","양재(서초구청)","지하","2"
"3호선","매봉","지하","2"
"3호선","매봉","지하","2"
"3호선","도곡","지하","4"
"3호선","도곡","지하","4"
"3호선","대치","지하","4"
"3호선","대치","지하","4"
"3호선","학여울","지하","5"
"3호선","학여울","지하","5"
"3호선","대청","지하","3"
"3호선","대청","지하","3"
"3호선","일원","지하","3"
"3호선","일원","지하","3"
"3호선","수서","지하","2"
"3호선","수서","지하","2"
"3호선","가락시장","지하","4"
"3호선","가락시장","지하","4"
"3호선","경찰병원","지하","3"
"3호선","경찰병원","지하","3"
"3호선","오금","지하","4"
"3호선","오금","지하","4"
