"호선","역명","형식","층수","비고"
"5","상일동","섬식(복합)","B2",""
"5","둔촌","상대식","B2",""
"5","올림픽공원","상대식","B3","9호선환승"
"5","방이","상대식","B2",""
"5","오금","상대식","B2","3호선환승"
"5","개롱","상대식","B2",""
"5","거여","상대식","B3",""
"5","마천","상대식","B4",""
"5","강일","상대식","B2",""
"5","미사","상대식","B2",""
"5","하남풍산","상대식","B2",""
"5","하남시청","상대식","B2",""
"5","하남검단산","상대식","B2",""
"6","응암","섬식","B3",""
"6","역촌","상대식","B4",""
"6","불광","상대식","B5","3호선환승"
"6","독바위","상대식","B6",""
"6","연신내","상대식","B5","3호선환승"
"6","구산","상대식","B4",""
"6","새절","섬식","B2",""
"6","증산","상대식","B2",""
"6","DMC","상대식","B2","경의중앙선,공항철도환승"
"6","월드컵경기장","상대식","B2",""
"6","마포구청","상대식","B3",""
"6","망원","상대식","B2",""
"6","합정","상대식","B4","2호선환승"
"6","상수","섬식","B3",""
"6","광흥창","섬식","B3",""
"6","대흥","섬식","B3",""
"6","공덕","상대식","B2","5호선,경의중앙선,공항철도환승"
"6","효창공원앞","섬식","B3","경의중앙선환승"
"6","삼각지","섬식","B4","4호선환승"
"6","녹사평","섬식","B5",""
"6","이태원","섬식","B5",""
"6","한강진","상대식","B5",""
"6","버티고개","상대식","B5",""
"6","약수","상대식","B4","3호선환승"
"6","청구","상대식","B2","5호선환승"
"6","신당","섬식","B3","2호선환승"
"6","동묘앞","섬식","B3","1호선환승"
"6","창신","섬식","B4",""
"6","보문","섬식","B3","우이신설선환승"
"6","안암","상대식","B3",""
"6","고려대","상대식","B4",""
"6","월곡","상대식","B3",""
"6","상월곡","섬식","B3",""
"6","돌곶이","상대식","B2",""
"6","석계","상대식","B3","국철환승"
"6","태릉입구","상대식","B2","7호선환승"
"6","화랑대","상대식","B2",""
"6","봉화산","섬식","B2",""
"6","신내","단선","지상","경춘선환승"
"7","장암","상대식","지상",""
"7","도봉산","상대식","고가","1호선환승"
"7","수락산","섬식(복합)","B3",""
"7","마들","섬식","B3",""
"7","노원","섬식","B3","4호선환승"
"7","중계","섬식","B3",""
"7","하계","섬식","B3",""
"7","공릉","상대식","B4",""
"7","태릉입구","상대식","B4","6호선환승"
"7","먹골","상대식","B3",""
"7","중화","상대식","B3",""
"7","상봉","상대식","B3","경의중앙선,경춘선환승"
"7","면목","상대식","B4",""
"7","사가정","상대식","B4",""
"7","용마산","상대식","B4",""
"7","중곡","상대식","B3",""
"7","군자","상대식","B3",""
"7","어린이대공원","상대식","B3","5호선환승"
"7","건대입구","상대식","B3","2호선환승"
"7","뚝섬유원지","상대식","고가",""
"7","청담","섬식","B4",""
"7","강남구청","상대식","B3","분당선환승"
"7","학동","상대식","B3",""
"7","논현","상대식","B3","신분당선환승"
"7","반포","상대식","B3",""
"7","고속터미널","상대식","B3","3,9호선환승"
"7","내방","상대식","B3",""
"7","이수","상대식","B4","4호선환승"
"7","남성","상대식","B3",""
"7","숭실대","상대식","B6",""
"7","상도","상대식","B3",""
"7","장승배기","상대식","B3",""
"7","신대방","상대식","B3",""
"7","보라매","섬식","B2","신림선환승"
"7","신풍","상대식","B2",""
"7","대림","상대식","B2","7호선환승"
"7","남구로","상대식","B5",""
"7","가산디지털단지","상대식","B4","1호선환승"
"7","철산","상대식","B2",""
"7","광명","섬식(복합)","B3",""
"7","천왕","상대식","B2",""
"7","온수","섬식(복합)","B2","1호선환승"
"8","암사","상대식","B2",""
"8","천호","상대식","B2","5호선환승"
"8","강동구청","상대식","B3",""
"8","몽촌토성","상대식","B3",""
"8","잠실","상대식","B3","2호선환승"
"8","석촌","상대식","B2","9호선환승"
"8","송파","상대식","B2",""
"8","가락시장","상대식","B2","3호선환승"
"8","문정","상대식","B2",""
"8","장지","상대식","B2",""
"8","복정","섬식","B3","분당선환승"
"8","남위례","상대식","지상",""
"8","산성","상대식","B4",""
"8","남한산성입구","상대식","B3",""
"8","단대오거리","상대식","B3",""
"8","신흥","상대식","B2",""
"8","수진","상대식","B2",""
"8","모란","상대식","B3","분당선환승"
"8","암사역사공원","상대식","B2",""
