"선명","역명","지상구분","역층"
"7호선","장암","지상","1"
"7호선","장암","지상","1"
"7호선","도봉산","지상","2"
"7호선","도봉산","지상","2"
"7호선","수락산","지하","3"
"7호선","수락산","지하","3"
"7호선","마들","지하","3"
"7호선","마들","지하","3"
"7호선","노원","지하","3"
"7호선","노원","지하","3"
"7호선","중계","지하","3"
"7호선","중계","지하","3"
"7호선","하계","지하","3"
"7호선","하계","지하","3"
"7호선","공릉(서울과학기술대)","지하","4"
"7호선","공릉(서울과학기술대)","지하","4"
"7호선","태릉입구","지하","4"
"7호선","태릉입구","지하","4"
"7호선","먹골","지하","3"
"7호선","먹골","지하","3"
"7호선","중화","지하","3"
"7호선","중화","지하","3"
"7호선","상봉(시외버스터미널)","지하","3"
"7호선","상봉(시외버스터미널)","지하","3"
"7호선","면목","지하","4"
"7호선","면목","지하","4"
"7호선","사가정","지하","4"
"7호선","사가정","지하","4"
"7호선","용마산","지하","4"
"7호선","용마산","지하","4"
"7호선","중곡","지하","3"
"7호선","중곡","지하","3"
"7호선","군자(능동)","지하","3"
"7호선","군자(능동)","지하","3"
"7호선","어린이대공원(세종대)","지하","3"
"7호선","어린이대공원(세종대)","지하","3"
"7호선","건대입구","지하","3"
"7호선","건대입구","지하","3"
"7호선","자양(뚝섬한강공원)","지상","3"
"7호선","자양(뚝섬한강공원)","지상","3"
"7호선","청담","지하","4"
"7호선","청담","지하","4"
"7호선","강남구청","지하","3"
"7호선","강남구청","지하","3"
"7호선","학동","지하","3"
"7호선","학동","지하","3"
"7호선","논현","지하","3"
"7호선","논현","지하","3"
"7호선","반포","지하","3"
"7호선","반포","지하","3"
"7호선","고속터미널","지하","3"
"7호선","고속터미널","지하","3"
"7호선","내방","지하","3"
"7호선","내방","지하","3"
"7호선","총신대입구(이수)","지하","4"
"7호선","총신대입구(이수)","지하","4"
"7호선","남성","지하","3"
"7호선","남성","지하","3"
"7호선","숭실대입구(살피재)","지하","6"
"7호선","숭실대입구(살피재)","지하","6"
"7호선","상도","지하","3"
"7호선","상도","지하","3"
"7호선","장승배기","지하","3"
"7호선","장승배기","지하","3"
"7호선","신대방삼거리","지하","3"
"7호선","신대방삼거리","지하","3"
"7호선","보라매","지하","2"
"7호선","보라매","지하","2"
"7호선","신풍","지하","2"
"7호선","신풍","지하","2"
"7호선","대림(구로구청)","지하","2"
"7호선","대림(구로구청)","지하","2"
"7호선","남구로","지하","5"
"7호선","남구로","지하","5"
"7호선","가산디지털단지","지하","4"
"7호선","가산디지털단지","지하","4"
"7호선","철산","지하","2"
"7호선","철산","지하","2"
"7호선","광명사거리","지하","3"
"7호선","광명사거리","지하","3"
"7호선","천왕","지하","2"
"7호선","천왕","지하","2"
"7호선","온수(성공회대입구)","지하","2"
"7호선","온수(성공회대입구)","지하","2"
"7호선","까치울","지하","2"
"7호선","까치울","지하","2"
"7호선","부천종합운동장","지하","2"
"7호선","부천종합운동장","지하","2"
"7호선","춘의","지하","2"
"7호선","춘의","지하","2"
"7호선","신중동","지하","2"
"7호선","신중동","지하","2"
"7호선","부천시청","지하","2"
"7호선","부천시청","지하","2"
"7호선","상동","지하","2"
"7호선","상동","지하","2"
"7호선","삼산체육관","지하","2"
"7호선","삼산체육관","지하","2"
"7호선","굴포천","지하","2"
"7호선","굴포천","지하","2"
"7호선","부평구청","지하","3"
"7호선","부평구청","지하","3"
"7호선","산곡","지하","2"
"7호선","산곡","지하","2"
"7호선","석남(거북시장)","지하","5"
"7호선","석남(거북시장)","지하","5"
