"선명","역명","지상구분","역층"
"6호선","응암","지하","3"
"6호선","응암","지하","3"
"6호선","역촌","지하","4"
"6호선","역촌","지하","4"
"6호선","불광","지하","4"
"6호선","불광","지하","4"
"6호선","독바위","지하","6"
"6호선","독바위","지하","6"
"6호선","연신내","지하","5"
"6호선","연신내","지하","5"
"6호선","구산","지하","4"
"6호선","구산","지하","4"
"6호선","새절(신사)","지하","2"
"6호선","새절(신사)","지하","2"
"6호선","증산(명지대앞)","지하","2"
"6호선","증산(명지대앞)","지하","2"
"6호선","디지털미디어시티","지하","3"
"6호선","디지털미디어시티","지하","3"
"6호선","월드컵경기장(성산)","지하","3"
"6호선","월드컵경기장(성산)","지하","3"
"6호선","마포구청","지하","3"
"6호선","마포구청","지하","3"
"6호선","망원","지하","2"
"6호선","망원","지하","2"
"6호선","합정","지하","4"
"6호선","합정","지하","4"
"6호선","상수","지하","3"
"6호선","상수","지하","3"
"6호선","광흥창(서강)","지하","3"
"6호선","광흥창(서강)","지하","3"
"6호선","대흥(서강대앞)","지하","3"
"6호선","대흥(서강대앞)","지하","3"
"6호선","공덕","지하","3"
"6호선","공덕","지하","3"
"6호선","효창공원앞","지하","3"
"6호선","효창공원앞","지하","3"
"6호선","삼각지","지하","4"
"6호선","삼각지","지하","4"
"6호선","녹사평(용산구청)","지하","5"
"6호선","녹사평(용산구청)","지하","5"
"6호선","이태원","지하","5"
"6호선","이태원","지하","5"
"6호선","한강진","지하","4"
"6호선","한강진","지하","4"
"6호선","버티고개","지하","3"
"6호선","버티고개","지하","3"
"6호선","약수","지하","3"
"6호선","약수","지하","3"
"6호선","청구","지하","4"
"6호선","청구","지하","4"
"6호선","신당","지하","3"
"6호선","신당","지하","3"
"6호선","동묘앞","지하","3"
"6호선","동묘앞","지하","3"
"6호선","창신","지하","4"
"6호선","창신","지하","4"
"6호선","보문","지하","3"
"6호선","보문","지하","3"
"6호선","안암(고대병원앞)","지하","3"
"6호선","안암(고대병원앞)","지하","3"
"6호선","고려대(종암)","지하","4"
"6호선","고려대(종암)","지하","4"
"6호선","월곡(동덕여대)","지하","3"
"6호선","월곡(동덕여대)","지하","3"
"6호선","상월곡(한국과학기술연구원)","지하","3"
"6호선","상월곡(한국과학기술연구원)","지하","3"
"6호선","돌곶이","지하","2"
"6호선","돌곶이","지하","2"
"6호선","석계","지하","4"
"6호선","석계","지하","4"
"6호선","태릉입구","지하","4"
"6호선","태릉입구","지하","4"
"6호선","화랑대(서울여대입구)","지하","4"
"6호선","화랑대(서울여대입구)","지하","4"
"6호선","봉화산(서울의료원)","지하","2"
"6호선","봉화산(서울의료원)","지하","2"
"6호선","신내","지하","3"
"6호선","신내","지하","3"
