"선명","역명","지상구분","역층"
"2호선","시청","지하","3"
"2호선","시청","지하","3"
"2호선","을지로입구","지하","2"
"2호선","을지로입구","지하","2"
"2호선","을지로3가","지하","2"
"2호선","을지로3가","지하","2"
"2호선","을지로4가","지하","2"
"2호선","을지로4가","지하","2"
"2호선","동대문역사문화공원","지하","2"
"2호선","동대문역사문화공원","지하","2"
"2호선","신당","지하","2"
"2호선","신당","지하","2"
"2호선","상왕십리","지하","2"
"2호선","상왕십리","지하","2"
"2호선","왕십리","지하","2"
"2호선","왕십리","지하","2"
"2호선","한양대","지상","2"
"2호선","한양대","지상","2"
"2호선","뚝섬","지상","2"
"2호선","뚝섬","지상","2"
"2호선","성수","지상","2"
"2호선","성수","지상","2"
"2호선","건대입구","지상","2"
"2호선","건대입구","지상","2"
"2호선","구의(광진구청)","지상","2"
"2호선","구의(광진구청)","지상","2"
"2호선","강변(동서울터미널)","지상","2"
"2호선","강변(동서울터미널)","지상","2"
"2호선","잠실나루","지상","2"
"2호선","잠실나루","지상","2"
"2호선","잠실(송파구청)","지하","2"
"2호선","잠실(송파구청)","지하","2"
"2호선","잠실새내","지하","2"
"2호선","잠실새내","지하","2"
"2호선","종합운동장","지하","2"
"2호선","종합운동장","지하","2"
"2호선","삼성(무역센터)","지하","2"
"2호선","삼성(무역센터)","지하","2"
"2호선","선릉","지하","2"
"2호선","선릉","지하","2"
"2호선","역삼","지하","3"
"2호선","역삼","지하","3"
"2호선","강남","지하","2"
"2호선","강남","지하","2"
"2호선","교대(법원·검찰청)","지하","2"
"2호선","교대(법원·검찰청)","지하","2"
"2호선","서초","지하","2"
"2호선","서초","지하","2"
"2호선","방배","지하","2"
"2호선","방배","지하","2"
"2호선","사당","지하","2"
"2호선","사당","지하","2"
"2호선","낙성대","지하","2"
"2호선","낙성대","지하","2"
"2호선","서울대입구(관악구청)","지하","2"
"2호선","서울대입구(관악구청)","지하","2"
"2호선","봉천","지하","2"
"2호선","봉천","지하","2"
"2호선","신림","지하","2"
"2호선","신림","지하","2"
"2호선","신대방","지상","2"
"2호선","신대방","지상","2"
"2호선","구로디지털단지","지상","2"
"2호선","구로디지털단지","지상","2"
"2호선","대림(구로구청)","지상","2"
"2호선","대림(구로구청)","지상","2"
"2호선","신도림","지하","2"
"2호선","신도림","지하","2"
"2호선","까치산","지하","5"
"2호선","문래","지하","2"
"2호선","문래","지하","2"
"2호선","영등포구청","지하","2"
"2호선","영등포구청","지하","2"
"2호선","당산","지하","2"
"2호선","당산","지하","2"
"2호선","합정","지하","2"
"2호선","합정","지하","2"
"2호선","홍대입구","지하","2"
"2호선","홍대입구","지하","2"
"2호선","신촌","지하","2"
"2호선","신촌","지하","2"
"2호선","이대","지하","2"
"2호선","이대","지하","2"
"2호선","아현","지하","2"
"2호선","아현","지하","2"
"2호선","충정로(경기대입구)","지하","3"
"2호선","충정로(경기대입구)","지하","3"
"2호선","용답","지상","2"
"2호선","용답","지상","2"
"2호선","신답","지상","1"
"2호선","신답","지상","1"
"2호선","신설동","지하","2"
"2호선","신설동","지하","2"
"2호선","도림천","지하","3"
"2호선","도림천","지하","3"
"2호선","양천구청","지하","2"
"2호선","양천구청","지하","2"
"2호선","신정네거리","지하","3"
"2호선","신정네거리","지하","3"
"2호선","용두(동대문구청)","지하","1"
"2호선","용두(동대문구청)","지하","1"
