SSID_MAC주소,지하철역명,지하철호선ID
5a:08:fa:00:3f:d7,강남구청,1075
06:30:0d:84:59:62,강남구청,1075
00:30:0d:84:59:60,강남구청,1075
06:30:0d:84:fa:02,강남구청,1075
58:08:fa:00:3f:d6,강남구청,1075
06:30:0d:84:58:c2,강남구청,1075
02:07:89:14:47:a9,석계,1006
00:40:5a:bf:c7:ea,석계,1006
06:30:0d:7f:36:e1,석계,1006
02:07:89:14:47:ed,석계,1006
02:07:89:14:47:f0,석계,1006
00:40:5a:bf:c7:eb,석계,1006
00:30:0d:7f:36:e0,석계,1006
0a:30:0d:7f:36:f1,석계,1006
00:30:0d:7f:36:f0,석계,1006
00:07:89:14:47:ec,석계,1006
00:07:89:14:47:a8,석계,1006
02:07:89:14:47:a8,석계,1006
0a:30:0d:84:55:b2,태릉입구,1006
06:30:0d:84:55:a2,태릉입구,1006
0a:30:0d:84:4d:d2,태릉입구,1006
06:30:0d:84:4d:c2,태릉입구,1006
00:30:0d:84:55:b0,태릉입구,1006
02:09:b4:61:46:63,태릉입구,1006
00:30:0d:84:4d:d0,태릉입구,1006
00:30:0d:84:4d:c0,태릉입구,1006
00:09:b4:61:46:63,태릉입구,1006
00:40:5a:bf:b2:12,태릉입구,1006
00:30:0d:84:55:a0,태릉입구,1006
00:40:5a:bf:b2:13,태릉입구,1006
06:30:0d:84:4c:c2,태릉입구,1006
00:30:0d:84:4c:c0,태릉입구,1006
00:40:5a:bf:98:eb,태릉입구,1006
0a:30:0d:84:4c:d2,태릉입구,1006
06:30:0d:83:a4:22,태릉입구,1006
00:16:1f:03:85:2e,구산,1006
00:40:5a:bc:2f:32,구산,1006
00:40:5a:bc:2b:32,구산,1006
00:40:5a:bc:2b:33,구산,1006
00:25:a6:a5:19:66,구산,1006
00:25:a6:a5:19:67,구산,1006
00:40:5a:bc:2f:33,구산,1006
00:25:a6:a5:22:c7,구산,1006
00:16:1f:03:85:2f,구산,1006
00:25:a6:a5:0f:9e,구산,1006
00:25:a6:a5:0f:9d,구산,1006
00:25:a6:a5:22:c6,구산,1006
12:16:1f:03:6e:9f,응암,1006
12:16:1f:03:4a:ef,응암,1006
00:16:1f:03:4a:ef,응암,1006
00:40:5a:bc:35:ca,응암,1006
00:16:1f:03:61:d6,응암,1006
12:16:1f:03:61:d6,응암,1006
00:40:5a:bc:35:cb,응암,1006
00:25:a6:a4:2f:a7,응암,1006
00:40:5a:bc:2a:93,응암,1006
00:16:1f:03:4a:ee,응암,1006
12:16:1f:03:4a:ee,응암,1006
00:25:a6:a4:5d:9b,응암,1006
00:40:5a:bc:2f:52,응암,1006
00:40:5a:bc:2f:53,응암,1006
12:16:1f:03:47:82,응암,1006
00:16:1f:03:47:82,응암,1006
00:40:5a:bc:40:62,응암,1006
