"환승시작 호선","환승시작역","환승종료 호선","환승종료역","소요시간"
"2","강남","sinbundang","강남","05:05"
"2","강남","sinbundang","강남","05:52"
"2","교대","3","교대","00:57"
"2","교대","3","교대","02:38"
"2","교대","3","교대","00:59"
"2","교대","3","교대","02:38"
"2","사당","4","사당","03:24"
"2","사당","4","사당","01:55"
"2","사당","4","사당","03:22"
"2","사당","4","사당","01:51"
"2","신림","","4409","03:00"
"2","신림","","4409","03:00"
"2","신림","","4407","03:00"
"2","신림","","4407","03:00"
"2","대림","7","대림","05:55"
"2","대림","7","대림","05:18"
"2","대림","7","대림","05:21"
"2","대림","7","대림","05:57"
"2","신도림","1","신도림","02:20"
"2","신도림","1","신도림","02:36"
"2","신도림","1","신도림","01:57"
"2","신도림","1","신도림","03:30"
"2","신도림","1","신도림","01:51"
"2","신도림","1","신도림","01:51"
"2","영등포구청","5","영등포구청","04:07"
"2","영등포구청","5","영등포구청","03:50"
"2","영등포구청","5","영등포구청","05:21"
"2","영등포구청","5","영등포구청","05:49"
"2","당산","9","당산","05:22"
"2","당산","9","당산","05:16"
"2","당산","9","당산","05:46"
"2","당산","9","당산","05:46"
"2","합정","6","합정","02:32"
"2","합정","6","합정","02:31"
"2","합정","6","합정","02:29"
"2","합정","6","합정","03:23"
"2","홍대입구","gyeongui","홍대입구","06:48"
"2","홍대입구","gyeongui","홍대입구","06:45"
"2","홍대입구","airport","홍대입구","11:46"
"2","홍대입구","airport","홍대입구","08:28"
"2","홍대입구","airport","홍대입구","08:31"
"2","홍대입구","airport","홍대입구","10:57"
"2","충정로","5","충정로","07:14"
"2","충정로","5","충정로","07:14"
"2","충정로","5","충정로","07:14"
"2","충정로","5","충정로","07:14"
"3","종로3가","1","종로3가","05:19"
"3","종로3가","1","종로3가","02:34"
"3","종로3가","1","종로3가","02:27"
"3","종로3가","1","종로3가","03:27"
"3","종로3가","5","종로3가","03:46"
"3","종로3가","5","종로3가","03:43"
"3","종로3가","5","종로3가","03:23"
"3","종로3가","5","종로3가","05:39"
"3","을지로3가","2","을지로3가","03:23"
"3","을지로3가","2","을지로3가","03:28"
"3","을지로3가","2","을지로3가","02:39"
"3","을지로3가","2","을지로3가","03:28"
"3","충무로","4","충무로","00:49"
"3","충무로","4","충무로","01:46"
"3","충무로","4","충무로","00:38"
"3","충무로","4","충무로","01:41"
"3","약수","6","약수","04:18"
"3","약수","6","약수","04:10"
"3","약수","6","약수","04:10"
"3","약수","6","약수","04:18"
"3","옥수","gyeongui","옥수","05:14"
"3","옥수","gyeongui","옥수","05:01"
"3","옥수","gyeongui","옥수","04:15"
"3","옥수","gyeongui","옥수","05:20"
"3","고속터미널","7","고속터미널","04:17"
"3","고속터미널","7","고속터미널","04:06"
"3","고속터미널","7","고속터미널","04:19"
"3","고속터미널","7","고속터미널","06:48"
"3","고속터미널","9","고속터미널","05:01"
"3","고속터미널","9","고속터미널","03:21"
"3","고속터미널","9","고속터미널","05:03"
"3","고속터미널","9","고속터미널","05:30"
"3","교대","2","교대","00:57"
"3","교대","2","교대","00:59"
"3","교대","2","교대","02:38"
"3","교대","2","교대","02:38"
"3","양재","sinbundang","양재","03:46"
"3","양재","sinbundang","양재","04:16"
"3","양재","sinbundang","양재","03:20"
"3","양재","sinbundang","양재","03:46"
"3","도곡","bundang","도곡","01:53"
"3","도곡","bundang","도곡","02:17"
"3","도곡","bundang","도곡","01:52"
"3","도곡","bundang","도곡","01:52"
"3","수서","bundang","수서","02:20"
"3","수서","bundang","수서","02:34"
"3","수서","bundang","수서","02:20"
"3","수서","bundang","수서","02:34"
"3","가락시장","8","가락시장","02:02"
"3","가락시장","8","가락시장","01:52"
"3","가락시장","8","가락시장","01:52"
"3","가락시장","8","가락시장","02:02"
"3","대곡","gyeongui","대곡","05:11"
"3","대곡","gyeongui","대곡","05:19"
"3","대곡","gyeongui","대곡","05:22"
"3","대곡","gyeongui","대곡","05:27"
"4","노원","7","노원","08:20"
"4","노원","7","노원","09:19"
"4","노원","7","노원","09:01"
"4","노원","7","노원","08:20"
"4","창동","1","창동","02:10"
"4","창동","1","창동","02:15"
"4","창동","1","창동","02:34"
"4","창동","1","창동","02:11"
"4","성신여대입구","","4710","05:15"
"4","성신여대입구","","4712","02:21"
"4","성신여대입구","","4712","02:17"
"4","성신여대입구","","4710","02:19"
"4","동대문","1","동대문","05:09"
"4","동대문","1","동대문","04:13"
"4","동대문","1","동대문","05:25"
"4","동대문","1","동대문","05:28"
"4","동대문역사문화공원","2","동대문역사문화공원","00:43"
"4","동대문역사문화공원","2","동대문역사문화공원","03:23"
"4","동대문역사문화공원","2","동대문역사문화공원","01:56"
"4","동대문역사문화공원","2","동대문역사문화공원","03:23"
"4","동대문역사문화공원","5","동대문역사문화공원","04:00"
"4","동대문역사문화공원","5","동대문역사문화공원","03:54"
"4","동대문역사문화공원","5","동대문역사문화공원","07:35"
"4","동대문역사문화공원","5","동대문역사문화공원","03:50"
"4","충무로","3","충무로","00:38"
"4","충무로","3","충무로","01:41"
"4","충무로","3","충무로","01:46"
"4","충무로","3","충무로","00:49"
"4","서울역","1","서울역","03:40"
"4","서울역","1","서울역","03:40"
"4","서울역","1","서울역","03:40"
"4","서울역","1","서울역","03:40"
"4","서울역","airport","서울역","15:21"
"4","서울역","airport","서울역","15:21"
"4","삼각지","6","삼각지","03:44"
"4","삼각지","6","삼각지","03:37"
"4","삼각지","6","삼각지","03:37"
"4","삼각지","6","삼각지","03:44"
"4","이촌","gyeongui","이촌","03:22"
"4","이촌","gyeongui","이촌","02:12"
"4","이촌","gyeongui","이촌","03:42"
"4","이촌","gyeongui","이촌","03:25"
"4","동작","9","동작","08:30"
"4","동작","9","동작","08:30"
"4","동작","9","동작","08:20"
"4","동작","9","동작","08:20"
"4","총신대입구","7","총신대입구","05:17"
"4","총신대입구","7","총신대입구","03:44"
"4","총신대입구","7","총신대입구","03:48"
"4","총신대입구","7","총신대입구","05:24"
"4","사당","2","사당","03:24"
"4","사당","2","사당","01:55"
"4","사당","2","사당","03:22"
"4","사당","2","사당","01:51"
"4","금정","1","금정","01:53"
"4","금정","1","금정","01:54"
"4","금정","1","금정","00:03"
"4","금정","1","금정","00:03"
"4","한대앞","bundang","한대앞","00:30"
"4","한대앞","bundang","한대앞","00:57"
"4","한대앞","bundang","한대앞","00:30"
"4","한대앞","bundang","한대앞","00:30"
"4","한대앞","bundang","한대앞","00:57"
"4","중앙","bundang","중앙","01:40"
"4","중앙","bundang","중앙","00:30"
"4","중앙","bundang","중앙","00:30"
"4","중앙","bundang","중앙","01:40"
"4","중앙","bundang","중앙","00:30"
"4","고잔","bundang","고잔","00:30"
"4","고잔","bundang","고잔","00:30"
"4","고잔","bundang","고잔","00:30"
"4","고잔","bundang","고잔","00:30"
"4","고잔","bundang","고잔","01:54"
"4","고잔","bundang","고잔","01:54"
"4","초지","seohae","초지","07:31"
"4","초지","seohae","초지","07:18"
"4","초지","seohae","초지","07:20"
"4","초지","seohae","초지","07:39"
"4","안산","bundang","안산","00:30"
"4","안산","bundang","안산","01:41"
"4","안산","bundang","안산","00:30"
"4","안산","bundang","안산","00:30"
"4","안산","bundang","안산","00:30"
"4","안산","bundang","안산","01:41"
"4","신길온천","bundang","신길온천","00:30"
"4","신길온천","bundang","신길온천","01:42"
"4","신길온천","bundang","신길온천","01:42"
"4","신길온천","bundang","신길온천","00:30"
"4","신길온천","bundang","신길온천","00:30"
"4","신길온천","bundang","신길온천","00:30"
"4","정왕","bundang","정왕","00:30"
"4","정왕","bundang","정왕","00:30"
"4","정왕","bundang","정왕","02:12"
"4","정왕","bundang","정왕","02:12"
"4","정왕","bundang","정왕","00:30"
"5","김포공항","9","김포공항","05:28"
"5","김포공항","9","김포공항","03:33"
"5","김포공항","9","김포공항","03:56"
"5","김포공항","9","김포공항","05:35"
"5","김포공항","airport","김포공항","03:56"
"5","김포공항","airport","김포공항","05:28"
"5","김포공항","airport","김포공항","03:59"
"5","김포공항","airport","김포공항","05:35"
"5","김포공항","","4928","05:08"
"5","김포공항","","4928","08:45"
"5","김포공항","","104C","03:33"
"5","김포공항","","104C","03:00"
"5","김포공항","seohae","김포공항","03:33"
"5","김포공항","seohae","김포공항","03:00"
"5","까치산","2","까치산","00:23"
"5","까치산","2","까치산","02:04"
"5","영등포구청","2","영등포구청","05:21"
"5","영등포구청","2","영등포구청","03:50"
"5","영등포구청","2","영등포구청","05:49"
"5","영등포구청","2","영등포구청","04:07"
"5","신길","1","신길","06:50"
"5","신길","1","신길","07:05"
"5","신길","1","신길","07:18"
"5","신길","1","신길","07:07"
"5","여의도","9","여의도","01:58"
"5","여의도","9","여의도","01:59"
"5","여의도","9","여의도","02:01"
"5","여의도","9","여의도","01:56"
"5","공덕","6","공덕","02:25"
"5","공덕","6","공덕","03:27"
"5","공덕","6","공덕","03:27"
"5","공덕","6","공덕","02:25"
"5","공덕","gyeongui","공덕","06:46"
"5","공덕","gyeongui","공덕","06:47"
"5","공덕","gyeongui","공덕","06:46"
"5","공덕","gyeongui","공덕","06:47"
"5","공덕","airport","공덕","08:34"
"5","공덕","airport","공덕","07:38"
"5","공덕","airport","공덕","08:34"
"5","공덕","airport","공덕","07:38"
"5","충정로","2","충정로","07:14"
"5","충정로","2","충정로","07:14"
"5","충정로","2","충정로","07:14"
"5","충정로","2","충정로","07:14"
"5","종로3가","1","종로3가","07:38"
"5","종로3가","1","종로3가","08:24"
"5","종로3가","1","종로3가","07:06"
"5","종로3가","1","종로3가","09:14"
"5","종로3가","3","종로3가","03:43"
"5","종로3가","3","종로3가","03:46"
"5","종로3가","3","종로3가","03:23"
"5","종로3가","3","종로3가","05:39"
"5","을지로4가","2","을지로4가","03:37"
"5","을지로4가","2","을지로4가","04:18"
"5","을지로4가","2","을지로4가","04:18"
"5","을지로4가","2","을지로4가","03:37"
"5","동대문역사문화공원","2","동대문역사문화공원","07:00"
"5","동대문역사문화공원","2","동대문역사문화공원","07:00"
"5","동대문역사문화공원","2","동대문역사문화공원","07:00"
"5","동대문역사문화공원","2","동대문역사문화공원","07:00"
"5","동대문역사문화공원","4","동대문역사문화공원","04:00"
"5","동대문역사문화공원","4","동대문역사문화공원","03:54"
"5","동대문역사문화공원","4","동대문역사문화공원","03:50"
"5","동대문역사문화공원","4","동대문역사문화공원","04:00"
"5","청구","6","청구","02:30"
"5","청구","6","청구","02:37"
"5","청구","6","청구","02:37"
"5","청구","6","청구","02:30"
"5","왕십리","2","왕십리","05:03"
"5","왕십리","2","왕십리","05:01"
"5","왕십리","2","왕십리","03:57"
"5","왕십리","2","왕십리","03:55"
"5","왕십리","gyeongui","왕십리","07:23"
"5","왕십리","gyeongui","왕십리","08:29"
"5","왕십리","gyeongui","왕십리","08:29"
"5","왕십리","gyeongui","왕십리","07:23"
"5","왕십리","","1847","07:18"
"5","왕십리","","1847","08:24"
"5","왕십리","","1845","07:18"
"5","왕십리","","1845","07:18"
"5","군자","7","군자","03:25"
"5","군자","7","군자","02:34"
"5","군자","7","군자","03:25"
"5","군자","7","군자","02:34"
"5","천호","8","천호","00:39"
"5","천호","8","천호","00:39"
"5","천호","8","천호","00:43"
"5","천호","8","천호","00:43"
"5","올림픽공원","9","올림픽공원","00:59"
"5","올림픽공원","9","올림픽공원","04:15"
"5","올림픽공원","9","올림픽공원","03:52"
"5","올림픽공원","9","올림픽공원","03:38"
"5","오금","","0341","01:53"
"5","오금","","0341","02:10"
"6","불광","","0311","03:42"
"6","불광","","0313","03:48"
"6","연신내","","0310","05:43"
"6","연신내","","0312","05:47"
"6","디지털미디어시티","gyeongui","디지털미디어시티","03:20"
"6","디지털미디어시티","gyeongui","디지털미디어시티","02:13"
"6","디지털미디어시티","gyeongui","디지털미디어시티","02:25"
"6","디지털미디어시티","gyeongui","디지털미디어시티","03:46"
"6","디지털미디어시티","airport","디지털미디어시티","07:20"
"6","디지털미디어시티","airport","디지털미디어시티","06:44"
"6","디지털미디어시티","airport","디지털미디어시티","07:19"
"6","디지털미디어시티","airport","디지털미디어시티","11:50"
"6","합정","2","합정","02:31"
"6","합정","2","합정","03:23"
"6","합정","2","합정","02:29"
"6","합정","2","합정","02:32"
"6","공덕","5","공덕","02:25"
"6","공덕","5","공덕","03:27"
"6","공덕","5","공덕","03:27"
"6","공덕","5","공덕","02:25"
"6","공덕","gyeongui","공덕","05:39"
"6","공덕","gyeongui","공덕","07:03"
"6","공덕","gyeongui","공덕","04:11"
"6","공덕","gyeongui","공덕","05:39"
"6","공덕","airport","공덕","07:16"
"6","공덕","airport","공덕","05:04"
"6","공덕","airport","공덕","04:09"
"6","공덕","airport","공덕","05:44"
"6","효창공원앞","gyeongui","효창공원앞","03:31"
"6","효창공원앞","gyeongui","효창공원앞","06:40"
"6","효창공원앞","gyeongui","효창공원앞","06:40"
"6","효창공원앞","gyeongui","효창공원앞","03:31"
"6","삼각지","4","삼각지","03:44"
"6","삼각지","4","삼각지","03:37"
"6","삼각지","4","삼각지","03:37"
"6","삼각지","4","삼각지","03:44"
"6","약수","3","약수","04:18"
"6","약수","3","약수","04:10"
"6","약수","3","약수","04:18"
"6","약수","3","약수","04:10"
"6","청구","5","청구","02:37"
"6","청구","5","청구","02:37"
"6","청구","5","청구","02:30"
"6","청구","5","청구","02:30"
"6","신당","2","신당","07:07"
"6","신당","2","신당","07:07"
"6","신당","2","신당","07:01"
"6","신당","2","신당","07:01"
"6","동묘앞","1","동묘앞","03:36"
"6","동묘앞","1","동묘앞","03:33"
"6","동묘앞","1","동묘앞","03:36"
"6","동묘앞","1","동묘앞","03:33"
"6","보문","","4711","03:28"
"6","보문","","4713","03:30"
"6","보문","","4713","03:30"
"6","보문","","4711","03:28"
"6","석계","1","석계","05:19"
"6","석계","1","석계","05:25"
"6","석계","1","석계","05:17"
"6","석계","1","석계","05:18"
"6","태릉입구","7","태릉입구","01:59"
"6","태릉입구","7","태릉입구","02:19"
"6","태릉입구","7","태릉입구","02:09"
"6","태릉입구","7","태릉입구","01:58"
"7","도봉산","1","도봉산","05:54"
"7","도봉산","1","도봉산","03:37"
"7","도봉산","1","도봉산","03:43"
"7","도봉산","1","도봉산","05:53"
"7","노원","4","노원","08:20"
"7","노원","4","노원","09:19"
"7","노원","4","노원","08:20"
"7","노원","4","노원","09:01"
"7","태릉입구","6","태릉입구","02:19"
"7","태릉입구","6","태릉입구","01:59"
"7","태릉입구","6","태릉입구","01:58"
"7","태릉입구","6","태릉입구","02:09"
"7","상봉","gyeongui","상봉","10:15"
"7","상봉","gyeongui","상봉","06:53"
