﻿SSID_MAC주소,SSID등록통신사,지하철역ID,지하철역명,지하철호선ID,WIFI신호세기
﻿10:e3:c7:04:2c:df,﻿T wifi zone_1,﻿1075075212,﻿압구정로데오,﻿1075,﻿-71
﻿5a:08:fa:00:40:87,﻿ollehWiFi,﻿1075075212,﻿압구정로데오,﻿1075,﻿-74
﻿0e:0e:47:01:24:32,﻿FREE_U+zone,﻿1075075212,﻿압구정로데오,﻿1075,﻿-74
﻿58:08:fa:00:2f:d6,﻿ollehWiFi,﻿1075075212,﻿압구정로데오,﻿1075,﻿-85
﻿58:08:fa:00:40:86,﻿ollehWiFi,﻿1075075212,﻿압구정로데오,﻿1075,﻿-74
﻿12:e3:c7:04:2c:8b,﻿T wifi zone_secure,﻿1075075212,﻿압구정로데오,﻿1075,﻿-62
﻿12:e3:c7:04:2c:df,﻿T wifi zone_secure,﻿1075075212,﻿압구정로데오,﻿1075,﻿-74
﻿5a:08:fa:00:2f:ba,﻿ollehWiFi,﻿1075075212,﻿압구정로데오,﻿1075,﻿-87
﻿5a:08:fa:00:2f:bb,﻿ollehWiFi,﻿1075075212,﻿압구정로데오,﻿1075,﻿-69
﻿0a:30:0d:84:59:12,﻿T wifi zone_secure,﻿1075075213,﻿강남구청,﻿1075,﻿-87
﻿06:30:0d:84:59:02,﻿T wifi zone_secure,﻿1075075213,﻿강남구청,﻿1075,﻿-83
﻿5a:08:fa:00:17:ef,﻿ollehWiFi,﻿1075075213,﻿강남구청,﻿1075,﻿-80
﻿00:30:0d:84:59:00,﻿T wifi zone_1,﻿1075075213,﻿강남구청,﻿1075,﻿-86
﻿06:30:0d:84:59:42,﻿T wifi zone_secure,﻿1075075213,﻿강남구청,﻿1075,﻿-86
﻿0e:0e:47:01:2b:72,﻿FREE_U+zone,﻿1075075213,﻿강남구청,﻿1075,﻿-62
﻿0a:30:0d:84:59:52,﻿T wifi zone_secure,﻿1075075213,﻿강남구청,﻿1075,﻿-83
﻿00:30:0d:84:59:40,﻿T wifi zone_1,﻿1075075213,﻿강남구청,﻿1075,﻿-86
﻿00:30:0d:84:59:50,﻿T wifi zone,﻿1075075213,﻿강남구청,﻿1075,﻿-81
﻿0a:0e:47:01:2b:72,﻿U+zone,﻿1075075213,﻿강남구청,﻿1075,﻿-65
﻿06:0e:47:01:2b:72,﻿FREE_U+zone,﻿1075075213,﻿강남구청,﻿1075,﻿-68
﻿0a:30:0d:84:59:72,﻿T wifi zone_secure,﻿1075075213,﻿강남구청,﻿1075,﻿-61
﻿00:30:0d:84:59:70,﻿T wifi zone,﻿1075075213,﻿강남구청,﻿1075,﻿-61
﻿58:08:fa:00:3f:d7,﻿ollehWiFi,﻿1075075213,﻿강남구청,﻿1075,﻿-63
﻿5a:08:fa:00:3f:d7,﻿ollehWiFi,﻿1075075213,﻿강남구청,﻿1075,﻿-62
﻿06:30:0d:84:59:62,﻿T wifi zone_secure,﻿1075075213,﻿강남구청,﻿1075,﻿-53
﻿00:30:0d:84:59:60,﻿T wifi zone_1,﻿1075075213,﻿강남구청,﻿1075,﻿-50
﻿06:30:0d:84:fa:02,﻿T wifi zone_secure,﻿1075075213,﻿강남구청,﻿1075,﻿-86
﻿58:08:fa:00:3f:d6,﻿ollehWiFi,﻿1075075213,﻿강남구청,﻿1075,﻿-69
﻿06:30:0d:84:58:c2,﻿T wifi zone_secure,﻿1075075213,﻿강남구청,﻿1075,﻿-80
﻿02:07:89:14:47:a9,﻿ollehWiFi,﻿1006000644,﻿석계,﻿1006,﻿-81
﻿00:40:5a:bf:c7:ea,﻿U+zone,﻿1006000644,﻿석계,﻿1006,﻿-81
﻿06:30:0d:7f:36:e1,﻿T wifi zone_secure,﻿1006000644,﻿석계,﻿1006,﻿-87
﻿02:07:89:14:47:ed,﻿ollehWiFi,﻿1006000644,﻿석계,﻿1006,﻿-85
﻿02:07:89:14:47:f0,﻿ollehWiFi,﻿1006000644,﻿석계,﻿1006,﻿-75
﻿00:40:5a:bf:c7:eb,﻿FREE_U+zone,﻿1006000644,﻿석계,﻿1006,﻿-90
﻿00:30:0d:7f:36:e0,﻿T wifi zone_1,﻿1006000644,﻿석계,﻿1006,﻿-90
﻿0a:30:0d:7f:36:f1,﻿T wifi zone_secure,﻿1006000644,﻿석계,﻿1006,﻿-89
﻿00:30:0d:7f:36:f0,﻿T wifi zone,﻿1006000644,﻿석계,﻿1006,﻿-90
﻿00:07:89:14:47:ec,﻿ollehWiFi,﻿1006000644,﻿석계,﻿1006,﻿-88
﻿00:07:89:14:47:a8,﻿ollehWiFi,﻿1006000644,﻿석계,﻿1006,﻿-89
﻿02:07:89:14:47:a8,﻿ollehWiFi,﻿1006000644,﻿석계,﻿1006,﻿-89
﻿0a:30:0d:84:55:b2,﻿T wifi zone_secure,﻿1006000645,﻿태릉입구,﻿1006,﻿-75
﻿06:30:0d:84:55:a2,﻿T wifi zone_secure,﻿1006000645,﻿태릉입구,﻿1006,﻿-69
﻿0a:30:0d:84:4d:d2,﻿T wifi zone_secure,﻿1006000645,﻿태릉입구,﻿1006,﻿-49
﻿06:30:0d:84:4d:c2,﻿T wifi zone_secure,﻿1006000645,﻿태릉입구,﻿1006,﻿-51
﻿00:30:0d:84:55:b0,﻿T wifi zone,﻿1006000645,﻿태릉입구,﻿1006,﻿-75
﻿02:09:b4:61:46:63,﻿ollehWiFi,﻿1006000645,﻿태릉입구,﻿1006,﻿-73
﻿00:30:0d:84:4d:d0,﻿T wifi zone,﻿1006000645,﻿태릉입구,﻿1006,﻿-57
﻿00:30:0d:84:4d:c0,﻿T wifi zone_1,﻿1006000645,﻿태릉입구,﻿1006,﻿-42
﻿00:09:b4:61:46:63,﻿ollehWiFi,﻿1006000645,﻿태릉입구,﻿1006,﻿-74
﻿00:40:5a:bf:b2:12,﻿U+zone,﻿1006000645,﻿태릉입구,﻿1006,﻿-75
﻿00:30:0d:84:55:a0,﻿T wifi zone_1,﻿1006000645,﻿태릉입구,﻿1006,﻿-75
﻿00:40:5a:bf:b2:13,﻿FREE_U+zone,﻿1006000645,﻿태릉입구,﻿1006,﻿-66
﻿06:30:0d:84:4c:c2,﻿T wifi zone_secure,﻿1006000645,﻿태릉입구,﻿1006,﻿-90
﻿00:30:0d:84:4c:c0,﻿T wifi zone_1,﻿1006000645,﻿태릉입구,﻿1006,﻿-87
﻿00:40:5a:bf:98:eb,﻿FREE_U+zone,﻿1006000645,﻿태릉입구,﻿1006,﻿-51
﻿0a:30:0d:84:4c:d2,﻿T wifi zone_secure,﻿1006000645,﻿태릉입구,﻿1006,﻿-79
﻿06:30:0d:83:a4:22,﻿T wifi zone_secure,﻿1006000645,﻿태릉입구,﻿1006,﻿-93
﻿00:16:1f:03:85:2e,﻿T wifi zone_1,﻿1006000615,﻿구산,﻿1006,﻿-71
﻿00:40:5a:bc:2f:32,﻿U+zone,﻿1006000615,﻿구산,﻿1006,﻿-65
﻿00:40:5a:bc:2b:32,﻿U+zone,﻿1006000615,﻿구산,﻿1006,﻿-44
﻿00:40:5a:bc:2b:33,﻿FREE_U+zone,﻿1006000615,﻿구산,﻿1006,﻿-44
﻿00:25:a6:a5:19:66,﻿ollehWiFi,﻿1006000615,﻿구산,﻿1006,﻿-53
﻿00:25:a6:a5:19:67,﻿ollehWiFi,﻿1006000615,﻿구산,﻿1006,﻿-54
﻿00:40:5a:bc:2f:33,﻿FREE_U+zone,﻿1006000615,﻿구산,﻿1006,﻿-77
﻿00:25:a6:a5:22:c7,﻿ollehWiFi,﻿1006000615,﻿구산,﻿1006,﻿-72
﻿00:16:1f:03:85:2f,﻿T wifi zone,﻿1006000615,﻿구산,﻿1006,﻿-69
﻿00:25:a6:a5:0f:9e,﻿ollehWiFi,﻿1006000615,﻿구산,﻿1006,﻿-50
﻿00:25:a6:a5:0f:9d,﻿ollehWiFi,﻿1006000615,﻿구산,﻿1006,﻿-50
﻿00:25:a6:a5:22:c6,﻿ollehWiFi,﻿1006000615,﻿구산,﻿1006,﻿-59
﻿12:16:1f:03:6e:9f,﻿T wifi zone_secure,﻿1006000610,﻿응암,﻿1006,﻿-76
﻿12:16:1f:03:4a:ef,﻿T wifi zone_secure,﻿1006000610,﻿응암,﻿1006,﻿-51
﻿00:16:1f:03:4a:ef,﻿T wifi zone,﻿1006000610,﻿응암,﻿1006,﻿-50
﻿00:40:5a:bc:35:ca,﻿U+zone,﻿1006000610,﻿응암,﻿1006,﻿-68
﻿00:16:1f:03:61:d6,﻿T wifi zone_1,﻿1006000610,﻿응암,﻿1006,﻿-74
﻿12:16:1f:03:61:d6,﻿T wifi zone_secure,﻿1006000610,﻿응암,﻿1006,﻿-74
﻿00:40:5a:bc:35:cb,﻿FREE_U+zone,﻿1006000610,﻿응암,﻿1006,﻿-68
﻿00:25:a6:a4:2f:a7,﻿ollehWiFi,﻿1006000610,﻿응암,﻿1006,﻿-63
﻿00:40:5a:bc:2a:93,﻿FREE_U+zone,﻿1006000610,﻿응암,﻿1006,﻿-80
﻿00:16:1f:03:4a:ee,﻿T wifi zone_1,﻿1006000610,﻿응암,﻿1006,﻿-50
﻿12:16:1f:03:4a:ee,﻿T wifi zone_secure,﻿1006000610,﻿응암,﻿1006,﻿-50
﻿00:25:a6:a4:5d:9b,﻿ollehWiFi,﻿1006000610,﻿응암,﻿1006,﻿-71
﻿00:40:5a:bc:2f:52,﻿U+zone,﻿1006000610,﻿응암,﻿1006,﻿-56
﻿00:40:5a:bc:2f:53,﻿FREE_U+zone,﻿1006000610,﻿응암,﻿1006,﻿-56
﻿12:16:1f:03:47:82,﻿T wifi zone_secure,﻿1006000610,﻿응암,﻿1006,﻿-77
﻿00:16:1f:03:47:82,﻿T wifi zone_1,﻿1006000610,﻿응암,﻿1006,﻿-77
﻿00:40:5a:bc:40:62,﻿U+zone,﻿1006000610,﻿응암,﻿1006,﻿-83
﻿00:16:1f:03:6e:9e,﻿T wifi zone_1,﻿1006000610,﻿응암,﻿1006,﻿-83
﻿12:16:1f:03:61:d7,﻿T wifi zone_secure,﻿1006000610,﻿응암,﻿1006,﻿-77
﻿12:16:1f:03:47:83,﻿T wifi zone_secure,﻿1006000610,﻿응암,﻿1006,﻿-78
﻿00:25:a6:a4:65:52,﻿ollehWiFi,﻿1006000610,﻿응암,﻿1006,﻿-84
﻿00:25:a6:a4:65:53,﻿ollehWiFi,﻿1006000610,﻿응암,﻿1006,﻿-84
﻿12:16:1f:03:6e:9e,﻿T wifi zone_secure,﻿1006000610,﻿응암,﻿1006,﻿-77
﻿00:25:a6:a4:5d:78,﻿ollehWiFi,﻿1006000610,﻿응암,﻿1006,﻿-76
﻿00:25:a6:a4:2f:a6,﻿ollehWiFi,﻿1006000610,﻿응암,﻿1006,﻿-63
﻿00:25:a6:a4:5d:9c,﻿ollehWiFi,﻿1006000610,﻿응암,﻿1006,﻿-71
﻿12:16:1f:03:28:46,﻿T wifi zone_secure,﻿1006000610,﻿응암,﻿1006,﻿-86
﻿00:16:1f:03:6e:9f,﻿T wifi zone,﻿1006000610,﻿응암,﻿1006,﻿-75
﻿00:16:1f:03:61:d7,﻿T wifi zone,﻿1006000610,﻿응암,﻿1006,﻿-76
﻿00:16:1f:03:47:83,﻿T wifi zone,﻿1006000610,﻿응암,﻿1006,﻿-78
﻿00:16:1f:03:28:47,﻿T wifi zone,﻿1006000610,﻿응암,﻿1006,﻿-87
﻿00:40:5a:bc:40:43,﻿FREE_U+zone,﻿1006000610,﻿응암,﻿1006,﻿-89
﻿00:40:5a:bc:2a:92,﻿U+zone,﻿1006000610,﻿응암,﻿1006,﻿-80
﻿06:17:b2:04:70:ce,﻿T wifi zone_secure,﻿1006000610,﻿응암,﻿1006,﻿-86
﻿00:25:a6:a4:5d:79,﻿ollehWiFi,﻿1006000610,﻿응암,﻿1006,﻿-54
﻿00:40:5a:bc:40:63,﻿FREE_U+zone,﻿1006000610,﻿응암,﻿1006,﻿-39
﻿00:07:89:10:51:4b,﻿ollehWiFi,﻿1006000610,﻿응암,﻿1006,﻿-88
﻿00:07:89:10:5b:40,﻿ollehWiFi,﻿1006000610,﻿응암,﻿1006,﻿-89
